Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	Round	RRTimeSec	LatencySec	ActiveRRTimeSec	RRTimeMin	LatencyMin	ActiveRRTimeMin
2019	8	43	8-3	13.246	24	105	-3.0686	219	Terrestrial	151	34.51	36.88	32.14	28.91	16.66	2.49	11.94	7.9505	3	1193	137	1056	19.88333333	2.283333333	17.6
2019	8	44	8-5	12.2784	26	85	-3.3012	228	Terrestrial	151	36.07	36.33	34.28	28.05	17.19	2.11	11.36	8.916	1	1136	1099	37	18.93333333	18.31666667	0.616666667
2019	8	44	8-5	12.2784	26	85	-3.3012	228	Terrestrial	151	36.07	36.33	34.28	28.05	17.19	2.11	11.36	8.916	2	86	58	28	1.433333333	0.966666667	0.466666667
2019	8	44	8-5	12.2784	26	85	-3.3012	228	Terrestrial	151	36.07	36.33	34.28	28.05	17.19	2.11	11.36	8.916	3	72	42	30	1.2	0.7	0.5
2019	8	45	8-6	12.8259	24	105	-3.1494	220	Aquatic	186	35.87	36.26	34.25	28.68	17.13	3.62	10.76	10.385	1	NA	639	NA	NA	10.65	NA
2019	8	45	8-6	12.8259	24	105	-3.1494	220	Aquatic	186	35.87	36.26	34.25	28.68	17.13	3.62	10.76	10.385	2	NA	NA	NA	NA	NA	NA
2019	8	45	8-6	12.8259	24	105	-3.1494	220	Aquatic	186	35.87	36.26	34.25	28.68	17.13	3.62	10.76	10.385	3	NA	1095	NA	NA	18.25	NA
2019	8	46	8-7	11.0394	28	68	-3.2652	239	Terrestrial	151	33.17	34.68	32.55	27.55	16.2	1.6	10.02	8.4911	1	197	179	18	3.283333333	2.983333333	0.3
2019	8	46	8-7	11.0394	28	68	-3.2652	239	Terrestrial	151	33.17	34.68	32.55	27.55	16.2	1.6	10.02	8.4911	2	531	529	2	8.85	8.816666667	0.033333333
2019	8	46	8-7	11.0394	28	68	-3.2652	239	Terrestrial	151	33.17	34.68	32.55	27.55	16.2	1.6	10.02	8.4911	3	163	102	61	2.716666667	1.7	1.016666667
2019	8	47	8-8	13.1754	26	85	-3.5457	230	Aquatic	214	41.32	41.92	38.12	32.21	20.14	2.79	10.6	15.736	1	572	570	2	9.533333333	9.5	0.033333333
2019	8	47	8-8	13.1754	26	85	-3.5457	230	Aquatic	214	41.32	41.92	38.12	32.21	20.14	2.79	10.6	15.736	2	208	175	33	3.466666667	2.916666667	0.55
2019	8	47	8-8	13.1754	26	85	-3.5457	230	Aquatic	214	41.32	41.92	38.12	32.21	20.14	2.79	10.6	15.736	3	657	321	336	10.95	5.35	5.6
